set_name,total_bins,total_bin_writes,heuristic,mode,pack_algo,bin_algo,sort_algo
MR-ON-BL-BNF-SO,105,54,MR,ON,BL,BNF,SO
MR-ON-BL-BNF-SF,53,54,MR,ON,BL,BNF,SF
MR-ON-BL-BNF-SS,53,54,MR,ON,BL,BNF,SS
MR-ON-BL-BBF-SO,41,72,MR,ON,BL,BBF,SO
MR-ON-BL-BBF-SF,41,72,MR,ON,BL,BBF,SF
MR-ON-BL-BBF-SS,41,72,MR,ON,BL,BBF,SS
MR-ON-BL-BFF-SO,41,72,MR,ON,BL,BFF,SO
MR-ON-BL-BFF-SF,41,72,MR,ON,BL,BFF,SF
MR-ON-BL-BFF-SS,41,72,MR,ON,BL,BFF,SS
MR-ON-BSSF-BNF-SO,53,54,MR,ON,BSSF,BNF,SO
MR-ON-BSSF-BNF-SF,53,54,MR,ON,BSSF,BNF,SF
MR-ON-BSSF-BNF-SS,53,54,MR,ON,BSSF,BNF,SS
MR-ON-BSSF-BBF-SO,40,73,MR,ON,BSSF,BBF,SO
MR-ON-BSSF-BBF-SF,40,73,MR,ON,BSSF,BBF,SF
MR-ON-BSSF-BBF-SS,40,73,MR,ON,BSSF,BBF,SS
MR-ON-BSSF-BFF-SO,40,73,MR,ON,BSSF,BFF,SO
MR-ON-BSSF-BFF-SF,40,73,MR,ON,BSSF,BFF,SF
MR-ON-BSSF-BFF-SS,40,73,MR,ON,BSSF,BFF,SS
MR-ON-BAF-BNF-SO,53,54,MR,ON,BAF,BNF,SO
MR-ON-BAF-BNF-SF,53,54,MR,ON,BAF,BNF,SF
MR-ON-BAF-BNF-SS,53,54,MR,ON,BAF,BNF,SS
MR-ON-BAF-BBF-SO,41,70,MR,ON,BAF,BBF,SO
MR-ON-BAF-BBF-SF,41,70,MR,ON,BAF,BBF,SF
MR-ON-BAF-BBF-SS,41,70,MR,ON,BAF,BBF,SS
MR-ON-BAF-BFF-SO,41,70,MR,ON,BAF,BFF,SO
MR-ON-BAF-BFF-SF,41,70,MR,ON,BAF,BFF,SF
MR-ON-BAF-BFF-SS,41,70,MR,ON,BAF,BFF,SS
MR-OFF-BL-BNF-SO,53,54,MR,OFF,BL,BNF,SO
MR-OFF-BL-BNF-SF,45,84,MR,OFF,BL,BNF,SF
MR-OFF-BL-BNF-SS,52,76,MR,OFF,BL,BNF,SS
MR-OFF-BL-BBF-SO,41,72,MR,OFF,BL,BBF,SO
MR-OFF-BL-BBF-SF,38,79,MR,OFF,BL,BBF,SF
MR-OFF-BL-BBF-SS,34,88,MR,OFF,BL,BBF,SS
MR-OFF-BL-BFF-SO,41,72,MR,OFF,BL,BFF,SO
MR-OFF-BL-BFF-SF,38,79,MR,OFF,BL,BFF,SF
MR-OFF-BL-BFF-SS,34,88,MR,OFF,BL,BFF,SS
MR-OFF-BSSF-BNF-SO,53,54,MR,OFF,BSSF,BNF,SO
MR-OFF-BSSF-BNF-SF,44,83,MR,OFF,BSSF,BNF,SF
MR-OFF-BSSF-BNF-SS,51,73,MR,OFF,BSSF,BNF,SS
MR-OFF-BSSF-BBF-SO,40,73,MR,OFF,BSSF,BBF,SO
MR-OFF-BSSF-BBF-SF,38,82,MR,OFF,BSSF,BBF,SF
MR-OFF-BSSF-BBF-SS,34,87,MR,OFF,BSSF,BBF,SS
MR-OFF-BSSF-BFF-SO,40,73,MR,OFF,BSSF,BFF,SO
MR-OFF-BSSF-BFF-SF,38,82,MR,OFF,BSSF,BFF,SF
MR-OFF-BSSF-BFF-SS,34,87,MR,OFF,BSSF,BFF,SS
MR-OFF-BAF-BNF-SO,53,54,MR,OFF,BAF,BNF,SO
MR-OFF-BAF-BNF-SF,44,83,MR,OFF,BAF,BNF,SF
MR-OFF-BAF-BNF-SS,51,71,MR,OFF,BAF,BNF,SS
MR-OFF-BAF-BBF-SO,41,70,MR,OFF,BAF,BBF,SO
MR-OFF-BAF-BBF-SF,38,81,MR,OFF,BAF,BBF,SF
MR-OFF-BAF-BBF-SS,34,85,MR,OFF,BAF,BBF,SS
MR-OFF-BAF-BFF-SO,41,70,MR,OFF,BAF,BFF,SO
MR-OFF-BAF-BFF-SF,38,81,MR,OFF,BAF,BFF,SF
MR-OFF-BAF-BFF-SS,34,85,MR,OFF,BAF,BFF,SS
